Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
1870101,LYRA GROOVE GRAPHITE PENCIL B,5,0.7278,0.5909,Jakarta Pusat,Global
351200,GIOTTO WATERCOLOR BLOCKS 30MM 12 COLS,5,0.7929,0.5091,Jakarta Pusat,Global
352300,GIOTTO MINI WATERCOLOR 12COL 23mm,5,0.9108,0.3241,"Jakarta Pusat, Jakarta Utara",Global
352400,GIOTTO WATERCOLOR BLOCKS 30MM 24 COLS,5,0.7349,0.5957,Jakarta Timur,Global
352600,GIOTTO MINI WATERCOLOR 24COL 23mm,5,0.9196,0.3699,Jakarta Timur,Global
387000,"DAS MODELLING MATERIALS, WHITE 500G",5,0.7485,0.4286,Jakarta Pusat,Global
530801,"GIOTTO SCHOOLPAINT 250 ml., WHITE",5,0.6815,0.6403,Jakarta Pusat,Global
530802,"GIOTTO SCHOOLPAINT 250 ml., P. YELLOW",5,0.6471,0.6761,Jakarta Pusat,Global
530808,"GIOTTO SCHOOLPAINT 250 ml., SCARLET RED",5,0.6434,0.6832,Jakarta Pusat,Global
530812,"GIOTTO SCHOOLPAINT 250 ml., GREEN",5,0.6811,0.6439,Jakarta Pusat,Global
530815,"GIOTTO SCHOOLPAINT 250 ml., CYAN",5,0.6321,0.6803,Jakarta Pusat,Global
530824,"GIOTTO SCHOOLPAINT 250 ml., BLACK",5,0.7343,0.5521,Jakarta Pusat,Global
530828,"GIOTTO SCHOOLPAINT 250 ml., BROWN",5,0.6977,0.6180,Jakarta Pusat,Global
534100,GIOTTO FINGERPAINT BOX 6X100 ML,5,0.5491,0.6458,Jakarta Pusat,Global
8061100,806K10A LYRA-MODELLING CLAY 10 COLOURS 230 GR,5,0.8687,0.4574,Jakarta Pusat,Global
1760100,LYRA GROOVE SLIM GRAPHITE PENCIL HB,4,0.5965,0.7067,Jakarta Pusat,Regional
200001283,Simply AC G Taklon SH Brush Set 7pc,4,0.4849,0.8125,Jakarta Utara,Regional
200807319,CANSON MONTVAL 12S 24X32 CP 300G,4,0.9338,0.3239,Jakarta Utara,Regional
200807320,CANSON MONTVAL 12S A3 CP 300G,4,0.7982,0.4662,Jakarta Timur,Regional
2091467,3467 LYRA-PLASTICINE ERASER /PCS,4,0.8750,0.4808,Jakarta Pusat,Regional
257400,GIOTTO STILNOVO SKIN TONES CARDBOARD 12 COLS,4,0.7213,0.6237,Jakarta Pusat,Regional
348200,"DAS MODELLING MATERIALS, STONE 1000G",4,0.6633,0.6735,Jakarta Pusat,Regional
348400,DAS WHITE 250G,4,0.6536,0.7143,Jakarta Pusat,Regional
352700,GIOTTO MINI WATERCOLOR 36COL 23mm,4,0.6822,0.6824,Jakarta Timur,Regional
353600,GIOTTO WATERCOLOR BLOCKS 30MM 36 COLS,4,0.5595,0.7500,Jakarta Timur,Regional
387100,"DAS MODELLING MATERIALS, TERACOTA 500G",4,0.8518,0.5085,Jakarta Pusat,Regional
387500,"DAS MODELLING MATERIALS, WHITE 1000G",4,0.7612,0.5124,Jakarta Timur,Regional
387600,"DAS MODELLING MATERIALS, TERACOTA 1000G",4,0.8227,0.3974,Jakarta Pusat,Regional
494800,GIOTTO DECOR TEXTILE FIBRE PENS 6 COLS,4,0.7243,0.4521,Jakarta Utara,Regional
494900,GIOTTO DECOR TEXTILLE HANGABLE BOX 12 COLS,4,0.7334,0.5857,Jakarta Pusat,Regional
530600,"GIOTTO DECOR ACRYLIC 25ML, 12 PCS",4,0.7566,0.5611,Jakarta Timur,Regional
530810,"GIOTTO SCHOOLPAINT 250 ml., MAGENTA",4,0.6352,0.6596,Jakarta Pusat,Regional
535501,"GIOTTO SCHOOL PAINT 1000 ML, WHITE",4,0.8274,0.5425,Jakarta Pusat,Regional
535502,"GIOTTO SCHOOL PAINT 1000 ML, PRIM. YELLOW",4,0.8252,0.5371,Jakarta Pusat,Regional
535505,"GIOTTO SCHOOL PAINT 1000 ML, ORANGE",4,0.9000,0.4014,Jakarta Pusat,Regional
