Wilayah,Rank,Kode Item,Deskripsi,Transaksi (unik),Qty Total,Harga (first),Nilai Total
Jakarta Pusat,1,535502,"GIOTTO SCHOOL PAINT 1000 ML, PRIM. YELLOW",492,1605,68400.00,296278452.00
Jakarta Pusat,2,530802,"GIOTTO SCHOOLPAINT 250 ml., P. YELLOW",476,1830,31700.00,152468600.00
Jakarta Pusat,3,530808,"GIOTTO SCHOOLPAINT 250 ml., SCARLET RED",440,1737,31700.00,145520340.00
Jakarta Pusat,4,530815,"GIOTTO SCHOOLPAINT 250 ml., CYAN",400,1554,31700.00,127714120.00
Jakarta Pusat,5,535508,"GIOTTO SCHOOL PAINT 1000 ML, SCARLET RED",388,1701,68400.00,315385532.00
Jakarta Utara,1,535505,"GIOTTO SCHOOL PAINT 1000 ML, ORANGE",192,650,68400.00,119788164.00
Jakarta Utara,2,8060001,806001 LYRA MODELLING CLAY 500GR WHITE,192,2192,29200.00,151383140.00
Jakarta Utara,3,535502,"GIOTTO SCHOOL PAINT 1000 ML, PRIM. YELLOW",180,2978,68400.00,544719240.00
Jakarta Utara,4,200807320,CANSON MONTVAL 12S A3 CP 300G,168,774,81600.00,166243440.00
Jakarta Utara,5,535508,"GIOTTO SCHOOL PAINT 1000 ML, SCARLET RED",156,3950,68400.00,723823860.00
Jakarta Timur,1,387500,"DAS MODELLING MATERIALS, WHITE 1000G",412,4162,42600.00,464972680.00
Jakarta Timur,2,530600,"GIOTTO DECOR ACRYLIC 25ML, 12 PCS",404,1848,85000.00,420470688.00
Jakarta Timur,3,352700,GIOTTO MINI WATERCOLOR 36COL 23mm,404,3425,53000.00,503337208.00
Jakarta Timur,4,8060007,806007 LYRA MODELLING CLAY 500GR YELLOW,268,1144,29200.00,77336120.00
Jakarta Timur,5,8060001,806001 LYRA MODELLING CLAY 500GR WHITE,264,2644,29200.00,177897880.00
Jakarta Barat,1,530815,"GIOTTO SCHOOLPAINT 250 ml., CYAN",52,326,31700.00,28994000.00
Jakarta Barat,2,535502,"GIOTTO SCHOOL PAINT 1000 ML, PRIM. YELLOW",52,114,72900.00,23280600.00
Jakarta Barat,3,530802,"GIOTTO SCHOOLPAINT 250 ml., P. YELLOW",48,529,31700.00,46954040.00
Jakarta Barat,4,530808,"GIOTTO SCHOOLPAINT 250 ml., SCARLET RED",48,417,31700.00,37138360.00
Jakarta Barat,5,535505,"GIOTTO SCHOOL PAINT 1000 ML, ORANGE",48,82,72900.00,16737840.00
Jakarta Selatan,1,8061100,806K10A LYRA-MODELLING CLAY 10 COLOURS 230 GR,60,290,15400.00,12538400.00
Jakarta Selatan,2,352300,GIOTTO MINI WATERCOLOR 12COL 23mm,48,55,21800.00,3778600.00
Jakarta Selatan,3,538101,GIOTTO DECOR ACRYLIC 25 ML WHITE,40,57,11800.00,2130240.00
Jakarta Selatan,4,571600,GIOTTO ARTBRUSH SERIE 577 FLAT #16,36,52,8400.00,1233120.00
Jakarta Selatan,5,352600,GIOTTO MINI WATERCOLOR 24COL 23mm,32,38,38600.00,4420640.00
